OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTArea,ShapeSTLength
760,LRA,3,Very High, , ,9474.9033203125,422.122596788434
761,LRA,3,Very High, , ,5079.6357421875,418.380511762017
762,LRA,3,Very High, , ,662.060546875,109.598131379349
763,LRA,3,Very High, , ,1050.0263671875,137.634772578857
764,LRA,3,Very High, , ,26.6064453125,784.795607159622
765,LRA,3,Very High, , ,26.095703125,662.727906768146
766,LRA,3,Very High, , ,3.078125,74.0219730485879
767,LRA,3,Very High, , ,2796.814453125,446.059390464358
768,LRA,3,Very High, , ,201898.5,1864.08203066813
769,LRA,3,Very High, , ,101.0927734375,198.984620984531
770,LRA,3,Very High, , ,249117.444335938,2261.52978600842
771,LRA,3,Very High, , ,6.021484375,12.2802662479413
772,LRA,3,Very High, , ,73.337890625,371.857724333832
773,LRA,3,Very High, , ,443.0234375,739.790552710076
774,LRA,3,Very High, , ,40.62109375,125.891634584782
775,LRA,3,Very High, , ,411.78125,735.895622130396
776,LRA,3,Very High, , ,22012.7646484375,858.335680975101
777,LRA,3,Very High, , ,4.908203125,133.15662982267
778,LRA,3,Very High, , ,12.9111328125,404.940908228804
779,LRA,3,Very High, , ,0.650390625,15.182414617924
780,LRA,3,Very High, , ,7441.615234375,2631.05232767352
781,LRA,3,Very High, , ,14.20703125,105.579307437894
782,LRA,3,Very High, , ,286881.115234375,4642.47412147207
783,LRA,3,Very High, , ,5434.8056640625,620.022688464067
784,LRA,3,Very High, , ,25223.953125,1301.11458566491
785,LRA,3,Very High, , ,1710.3251953125,1898.29344344559
786,LRA,3,Very High, , ,982.958984375,170.589818006347
787,LRA,3,Very High, , ,39.65625,254.630623428566
788,LRA,3,Very High, , ,35.4580078125,453.771041235531
789,LRA,3,Very High, , ,42036.7734375,3214.0828883964
790,LRA,3,Very High, , ,498.7529296875,133.486188690945
791,LRA,3,Very High, , ,14617.0068359375,1637.10853685632
792,LRA,3,Very High, , ,128.5166015625,111.533968800323
793,LRA,3,Very High, , ,25.2744140625,29.0197790912584
794,LRA,3,Very High, , ,487.1181640625,501.794180923489
795,LRA,3,Very High, , ,894.6845703125,147.760109719509
796,LRA,3,Very High, , ,1.2548828125,23.6703530927068
797,LRA,3,Very High, , ,20.017578125,614.4956248178
798,LRA,3,Very High, , ,6924.98828125,443.698872239336
799,LRA,3,Very High, , ,9.7216796875,311.222413970602
800,LRA,3,Very High, , ,3423.9912109375,985.642933261293
